frozenset({'Post Matt', 'Koehn Philipp'}) 20
frozenset({'Marie Benjamin', 'Fujita Atsushi'}) 17
frozenset({'Liu Qun', 'Li Liangyou'}) 22
frozenset({'Nakamura Satoshi', 'Sudoh Katsuhito'}) 17
frozenset({'Chao Lidia S.', 'Wong Derek F.'}) 40
frozenset({'Hu Junjie', 'Neubig Graham'}) 13
frozenset({'Nakazawa Toshiaki', 'Goto Isao'}) 15
frozenset({'Mino Hideya', 'Nakazawa Toshiaki'}) 12
frozenset({'Nakazawa Toshiaki', 'Ding Chenchen'}) 10
frozenset({'Nakazawa Toshiaki', 'Dabre Raj'}) 11
frozenset({'Nakazawa Toshiaki', 'Chu Chenhui'}) 16
frozenset({'Kurohashi Sadao', 'Nakazawa Toshiaki'}) 49
frozenset({'Mino Hideya', 'Goto Isao'}) 17
frozenset({'Goto Isao', 'Ding Chenchen'}) 10
frozenset({'Kurohashi Sadao', 'Goto Isao'}) 14
frozenset({'Kurohashi Sadao', 'Mino Hideya'}) 12
frozenset({'Kunchukuttan Anoop', 'Dabre Raj'}) 10
frozenset({'Kurohashi Sadao', 'Dabre Raj'}) 16
frozenset({'Bhattacharyya Pushpak', 'Dabre Raj'}) 11
frozenset({'Kunchukuttan Anoop', 'Bhattacharyya Pushpak'}) 28
frozenset({'Parida Shantipriya', 'Bojar Ond{\\v{r}}ej'}) 10
frozenset({'Kurohashi Sadao', 'Chu Chenhui'}) 25
frozenset({'Komachi Mamoru', 'Hirasawa Tosho'}) 11
frozenset({'Imamura Kenji', 'Sumita Eiichiro'}) 21
frozenset({'Komachi Mamoru', 'Kajiwara Tomoyuki'}) 13
frozenset({'Ekbal Asif', 'Bhattacharyya Pushpak'}) 65
frozenset({'Fi{\\v{s}}er Darja', "Ljube{\\v{s}}i{\\'c} Nikola"}) 17
frozenset({'Collier Nigel', 'Pilehvar Mohammad Taher'}) 17
frozenset({'Fornaciari Tommaso', 'Hovy Dirk'}) 11
frozenset({'Habash Nizar', 'Bouamor Houda'}) 22
frozenset({'Zaghouani Wajdi', 'Habash Nizar'}) 12
frozenset({'Tomeh Nadi', 'Habash Nizar'}) 10
frozenset({'Zaghouani Wajdi', 'Bouamor Houda'}) 13
frozenset({'Abdelali Ahmed', 'Mubarak Hamdy'}) 24
frozenset({'Abdelali Ahmed', 'Samih Younes'}) 11
frozenset({'Abdelali Ahmed', 'Darwish Kareem'}) 19
frozenset({'Mubarak Hamdy', 'Samih Younes'}) 11
frozenset({'Mubarak Hamdy', 'Darwish Kareem'}) 27
frozenset({'Darwish Kareem', 'Samih Younes'}) 10
frozenset({'Nagoudi El Moatez Billah', 'Abdul-Mageed Muhammad'}) 10
frozenset({'Lichouri Mohamed', 'Abbas Mourad'}) 11
frozenset({'Priyadharshini Ruba', 'Chakravarthi Bharathi Raja'}) 14
frozenset({'Jauhiainen Heidi', 'Jauhiainen Tommi'}) 15
frozenset({"Lind{\\'e}n Krister", 'Jauhiainen Heidi'}) 15
frozenset({"Lind{\\'e}n Krister", 'Jauhiainen Tommi'}) 15
frozenset({'Schlechtweg Dominik', 'Schulte im Walde Sabine'}) 10
frozenset({'Caines Andrew', 'Buttery Paula'}) 18
frozenset({'Horbach Andrea', 'Zesch Torsten'}) 10
frozenset({"S{\\'a}nchez-Mart{\\'\\i}nez Felipe", "P{\\'e}rez-Ortiz Juan Antonio"}) 14
frozenset({'Kahane Sylvain', 'Gerdes Kim'}) 16
frozenset({'Ustalov Dmitry', 'Panchenko Alexer'}) 11
frozenset({'Li Manling', 'Ji Heng'}) 13
frozenset({'Zhou Bowen', 'He Xiaodong'}) 14
frozenset({'Klein Dan', 'Fried Daniel'}) 10
frozenset({'Klein Dan', 'DeNero John'}) 13
frozenset({'Wagner Joachim', 'Foster Jennifer'}) 18
frozenset({'Neubig Graham', 'Anastasopoulos Antonios'}) 21
frozenset({'Cotterell Ryan', 'Williams Adina'}) 10
frozenset({'Goldberg Yoav', 'Elazar Yanai'}) 11
frozenset({'Goldberg Yoav', 'Ravfogel Shauli'}) 11
frozenset({'Liu Zhiyuan', 'Li Juanzi'}) 21
frozenset({'Khashabi Daniel', 'Roth Dan'}) 13
frozenset({'Xiong Caiming', 'Socher Richard'}) 30
frozenset({"Vuli{\\'c} Ivan", 'Reichart Roi'}) 20
frozenset({"Vuli{\\'c} Ivan", 'Korhonen Anna'}) 48
frozenset({'Korhonen Anna', 'Reichart Roi'}) 31
frozenset({'Shimorina Anastasia', 'Gardent Claire'}) 10
frozenset({'Mistica Meladel', 'Baldwin Timothy'}) 10
frozenset({'Salehi Bahar', 'Baldwin Timothy'}) 13
frozenset({'Cotterell Ryan', 'Vieira Tim'}) 10
frozenset({'Zhang Sheng', 'Van Durme Benjamin'}) 14
frozenset({'White Aaron Steven', 'Van Durme Benjamin'}) 17
frozenset({'Gao Jianfeng', 'Peng Baolin'}) 12
frozenset({'Gaido Marco', 'Negri Matteo'}) 12
